chunk_id;node_1;node_2;edge
9e984b449e2c49338bb8f48c0ac557f3;poland;widukind;Widukind, a historian, is one of the earliest sources of information about Poland
9e984b449e2c49338bb8f48c0ac557f3;widukind;970;Widukind put pen to parchment in 970
9e984b449e2c49338bb8f48c0ac557f3;archaeologists;traces of smaller fortifications;Archaeologists have found traces of smaller fortifications that date back to the 8th and 9th century
9e984b449e2c49338bb8f48c0ac557f3;traces of smaller fortifications;systematically destroyed;These were systematically destroyed when new, much larger structures were erected sometime between 920 and 950
9e984b449e2c49338bb8f48c0ac557f3;new, much larger structures;erected between 920 and 950;New, much larger structures were erected sometime between 920 and 950
9e984b449e2c49338bb8f48c0ac557f3;gniesno and poznan;centers of power;Gniesno and Poznan became centres of power
9e984b449e2c49338bb8f48c0ac557f3;early polish rulers;expanded their territory in all directions;The early Polish rulers expanded their territory in all directions from Gniesno and Poznan
9e984b449e2c49338bb8f48c0ac557f3;early polish rulers;zone of influence;The zone of influence of the early Polish rulers ranged from the mouth of the Vistula River to the modern day Polish/Ukrainian border
9e984b449e2c49338bb8f48c0ac557f3;first polish ruler;mieszko;The first Polish ruler we hear about is Mieszko
8ad949a3488a430cae0864089c8cef99;river;polish/ukrainian border;The river is located at the modern day Polish/Ukrainian border.
8ad949a3488a430cae0864089c8cef99;mieszko;first polish ruler;Mieszko is referred to as the first Polish ruler in the context.
8ad949a3488a430cae0864089c8cef99;mieszko;westwards to the lower oder river;Mieszko had pushed his borders westwards to the lower Oder River.
8ad949a3488a430cae0864089c8cef99;mieszko;margrave gero;Mieszko had a brief encounter with Margrave Gero around 960.
8ad949a3488a430cae0864089c8cef99;margrave gero;out old friend;Mieszko refers to Margrave Gero as an old friend.
8ad949a3488a430cae0864089c8cef99;margrave gero;960;Mieszko had a brief encounter with Margrave Gero around 960.
8ad949a3488a430cae0864089c8cef99;mieszko;gniesno in the 10th century;After the encounter with Margrave Gero, Mieszko seems to have concluded a treaty of friendship with Otto the Great and married Dobrawa, and then he moved to Gniesno in the 10th century.
8ad949a3488a430cae0864089c8cef99;mieszko;treaty of friendship with otto the great;After the encounter with Margrave Gero, Mieszko seems to have concluded a treaty of friendship with Otto the Great.
8ad949a3488a430cae0864089c8cef99;mieszko;dobrawa, a daughter of duke boleslaus i of bohemia;After the encounter with Margrave Gero and concluding a treaty of friendship with Otto the Great, Mieszko married Dobrawa, a daughter of duke Boleslaus I of Bohemia.
8ad949a3488a430cae0864089c8cef99;dobrawa, a daughter of duke boleslaus i of bohemia;convert miesco to christianity;According to Thietmar, it was Dobrawa who converted Miesco to Christianity.
8ad949a3488a430cae0864089c8cef99;mieszko;politically opportune move;It is more likely that Miesco saw converting to Christianity as a politically opportune move.
8ad949a3488a430cae0864089c8cef99;mieszko;otto the great;The arrangement with Otto meant that Miesco did not have to fear an expansion of the Saxons beyond the Oder River.
8ad949a3488a430cae0864089c8cef99;saxons;otto the great;The arrangement with Otto meant that Miesco did not have to fear an expansion of the Saxons beyond the Oder River.
8ad949a3488a430cae0864089c8cef99;saxons;poland;The Saxons and the Poles had a common set of enemies, the Slavic people living in the marches who were constantly refusing to pay tribute and raiding into either Poland or Saxony.
8ad949a3488a430cae0864089c8cef99;poland;slavic people living in the marches;The Saxons and the Poles had a common set of enemies, the Slavic people living in the marches who were constantly refusing to pay tribute and raiding into either Poland or Saxony.
8ad949a3488a430cae0864089c8cef99;slavic people living in the marches;tribute and raiding into either poland or saxony;The Saxons and the Poles had a common set of enemies, the Slavic people living in the marches who were constantly refusing to pay tribute and raiding into either Poland or Saxony.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;christian powers;The Slavic pagan people are encircled by Christian powers, indicating a religious and geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;saxons;The Slavic pagan people live to the West of the Saxons, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;poland;The Slavic pagan people live to the East of Poland, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;bohemians;The Slavic pagan people live in the South of Bohemia, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;baltic sea;The Slavic pagan people live to the North of the Baltic Sea, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;slavic pagan people;denmark;The Slavic pagan people live beyond the Baltic Sea, where Denmark is located, indicating a geographical relationship.
ca4f0d0d09ad40488bc03c767fc6e951;tv series vikings;vikings;The TV series Vikings is about the history of the Vikings.
ca4f0d0d09ad40488bc03c767fc6e951;tv series vikings;modern academic research on the vikings;The TV series Vikings and modern academic research on the Vikings are two options for learning about early Danish history.
ca4f0d0d09ad40488bc03c767fc6e951;tv series vikings;scandinavian history podcast by mikael shainkman;The TV series Vikings and the Scandinavian History Podcast by Mikael Shainkman are two options for learning about early Danish history.
ca4f0d0d09ad40488bc03c767fc6e951;modern academic research on the vikings;vikings;Modern academic research on the Vikings is based on unreliable sagas about the Vikings.
ca4f0d0d09ad40488bc03c767fc6e951;modern academic research on the vikings;tv series vikings;Modern academic research on the Vikings tends to be dry, while the TV series Vikings is not.
ca4f0d0d09ad40488bc03c767fc6e951;scandinavian history podcast by mikael shainkman;vikings;The Scandinavian History Podcast by Mikael Shainkman provides information about the Vikings.
ca4f0d0d09ad40488bc03c767fc6e951;scandinavian history podcast by mikael shainkman;modern academic research on the vikings;The Scandinavian History Podcast by Mikael Shainkman strikes a balance between the believed and the believable, unlike modern academic research on the Vikings which can be dry.
2e207ece581a42c38e1e90c044428cee;relations between the danes and the east francian;first more intense encounter;The first more intense encounter between the Danes and the East Francian occurred in the 830s.
2e207ece581a42c38e1e90c044428cee;first more intense encounter;man called ansgar;The man called Ansgar, also known as saint Ansgar, was involved in the first more intense encounter between the Danes and the East Francian.
2e207ece581a42c38e1e90c044428cee;man called ansgar;frankish nobleman from near amiens;The man called Ansgar was a Frankish nobleman from near Amiens.
2e207ece581a42c38e1e90c044428cee;frankish nobleman from near amiens;joined the benedictine monastery in corbie as a child;The Frankish nobleman from near Amiens joined the Benedictine Monastery in Corbie as a child.
2e207ece581a42c38e1e90c044428cee;benedictine monastery in corbie;famed school and scriptorium;The Benedictine Monastery in Corbie was a famed school and scriptorium.
2e207ece581a42c38e1e90c044428cee;benedictine monastery in corbie;closely associated with the carolingian family;The Benedictine Monastery in Corbie was closely associated with the Carolingian family.
2e207ece581a42c38e1e90c044428cee;monks from corbie;roped into missionary work in the recently acquired land of the saxons;Monks from Corbie were roped into missionary work in the recently acquired land of the Saxons.
2e207ece581a42c38e1e90c044428cee;corvey;abbey founded by monks from corbie;Corvey is an abbey founded by monks from Corbie.
2e207ece581a42c38e1e90c044428cee;widukind of corvey;chronicler from corvey;Widukind of Corvey is a chronicler from Corvey.
2e207ece581a42c38e1e90c044428cee;ansgar;sent out to saxony in 822;Ansgar was sent out to Saxony in 822.
2e207ece581a42c38e1e90c044428cee;ansgar;extended his activities beyond the borders of the conquered territory;Ansgar extended his activities beyond the borders of the conquered territory.
2e207ece581a42c38e1e90c044428cee;ansgar;began preaching on the jutland peninsula;Ansgar began preaching on the Jutland peninsula.
2e207ece581a42c38e1e90c044428cee;ansgar;had some initial success and converted one of the minor danish rulers;Ansgar had some initial success and converted one of the minor Danish rulers.
2e207ece581a42c38e1e90c044428cee;converted danish ruler;lost power;The converted Danish ruler lost power.
4ba7283abe114014b8fc4fe118cad9e7;ansgar;minor danish ruler;Ansgar converted one of the minor Danish rulers
4ba7283abe114014b8fc4fe118cad9e7;minor danish ruler;loss of power;The minor Danish ruler lost power shortly after being converted by Ansgar
4ba7283abe114014b8fc4fe118cad9e7;ansgar;missionary effort in sweden;Ansgar led a missionary effort in Sweden
4ba7283abe114014b8fc4fe118cad9e7;missionary effort in sweden;lasting roots;Ansgar was able to establish more lasting roots through his missionary effort in Sweden
4ba7283abe114014b8fc4fe118cad9e7;ansgar;archbishopric of hamburg;Ansgar was elevated to the archbishopric of Hamburg
4ba7283abe114014b8fc4fe118cad9e7;archbishopric of hamburg;bremen's bishopric;The archbishopric of Hamburg incorporated the already established bishopric of Bremen
4ba7283abe114014b8fc4fe118cad9e7;ansgar;conversion of scandinavia;As archbishop, Ansgar was given the task to convert all of Scandinavia
4ba7283abe114014b8fc4fe118cad9e7;ansgar;creation of new bishoprics;As archbishop, Ansgar was given the right to create new bishoprics in the heathen lands
4ba7283abe114014b8fc4fe118cad9e7;archbishopric of hamburg;stone church in bremen;The only stone church in the archdiocese was in Bremen
4ba7283abe114014b8fc4fe118cad9e7;archdiocese;wooden churches;All others were built from wood
4ba7283abe114014b8fc4fe118cad9e7;missionary effort;something going wrong;Something on that missionary effort did go wrong
4ba7283abe114014b8fc4fe118cad9e7;something going wrong;danes coming to hamburg;The event of something going wrong involved the Danes coming to Hamburg
4ba7283abe114014b8fc4fe118cad9e7;danes;burning down hamburg;The Danes burned down the whole new city, its wooden churches and its newly established library
4ba7283abe114014b8fc4fe118cad9e7;ansgar;escaping from danger;St. Ansgar manages to escape with
b07e4d6a2da24b06a9f336e7ab908c11;new city;wooden churches;The new city is known for its wooden churches.
b07e4d6a2da24b06a9f336e7ab908c11;newly established library;new city;The newly established library is located in the new city.
b07e4d6a2da24b06a9f336e7ab908c11;st. ansgar;precious relics;St. Ansgar managed to escape with the precious relics he had brought up.
b07e4d6a2da24b06a9f336e7ab908c11;friesland;danish control;Friesland, i.e., modern day Holland came under Danish control.
b07e4d6a2da24b06a9f336e7ab908c11;rhine delta;friesland;The raids were launched from their bases in the Rhine delta.
b07e4d6a2da24b06a9f336e7ab908c11;raids;rhine delta;The raids were launched from their bases in the Rhine delta.
b07e4d6a2da24b06a9f336e7ab908c11;cologne;raids;The raids targeted Cologne.
b07e4d6a2da24b06a9f336e7ab908c11;xanten;raids;The raids targeted Xanten.
b07e4d6a2da24b06a9f336e7ab908c11;mainz;raids;The raids targeted Mainz.
b07e4d6a2da24b06a9f336e7ab908c11;aachen;raids;The raids targeted Aachen, the capital of Charlemagne.
b07e4d6a2da24b06a9f336e7ab908c11;empire;conflict;The empire was riven by conflict between the three sons of Louis the Pious.
b07e4d6a2da24b06a9f336e7ab908c11;treaty of verdun;more stable situation;The more stable situation helped Ansgar to resume his missionary activity in Denmark and Sweden.
b07e4d6a2da24b06a9f336e7ab908c11;horik the elder;missionary bishoprics in schleswig;Horik the elder allowed Ansgar to set up a missionary bishoprics in Schleswig.
b07e4d6a2da24b06a9f336e7ab908c11;successor of horik the elder;threw out the missionaries;His successor shifted gear and threw the missionaries out again.
25c4a2b5b9d34d0996f9482a2b94eb41;successor;missionaries;The successor 'shifted gear' and 'threw the missionaries out again', indicating a relationship of conflict or opposition.
25c4a2b5b9d34d0996f9482a2b94eb41;christianity;scandinavia;Over time, Christianity 'penetrated deeper into Scandinavia', indicating a spread or influence of Christianity in the region.
25c4a2b5b9d34d0996f9482a2b94eb41;work of the missionaries;political and economic factors;The text states that 'getting baptised was a way to become the legitimate ruler of lands in continental Europe, and Rollo’s case was not unusual', suggesting that political and economic factors were more important than the work of the missionaries in the spread of Christianity.
25c4a2b5b9d34d0996f9482a2b94eb41;rollo;normandy or parts of normandy;Rollo was given 'Normandy or parts of Normandy in exchange for baptism and an oath of fealty', indicating a relationship of exchange between Rollo and the lands he received.
25c4a2b5b9d34d0996f9482a2b94eb41;vikings;traders;The text states that 'to gain access to markets it had become increasingly necessary to be Christian', indicating a relationship between the Viking's role as traders and their religious affiliation.
1abda0d3e8ce4dc9aecebf4fe01d035f;traders;markets;Traders are entities that participate in market activities to gain access.
1abda0d3e8ce4dc9aecebf4fe01d035f;becoming christian;access to markets;Becoming Christian was increasingly necessary for traders to gain access to markets.
1abda0d3e8ce4dc9aecebf4fe01d035f;vikings;christian slaves;Vikings had taken Christian slaves who were still performing their religious rites.
1abda0d3e8ce4dc9aecebf4fe01d035f;ansgar and his missionaries;existing christian communities;Ansgar and his missionaries often found there were already existing Christian communities when they arrived.
1abda0d3e8ce4dc9aecebf4fe01d035f;conversion to christianity;religious conviction;Religious conviction appeared to have been only skin-deep, given the material considerations that drove this conversion.
1abda0d3e8ce4dc9aecebf4fe01d035f;worship of old gods;commercial and cultural centre like bergen in norway;Despite the encroaching Christianity, there were indications of the worship of the old gods even in a commercial and cultural centre like Bergen in Norway as late as the 13th century.
1abda0d3e8ce4dc9aecebf4fe01d035f;danes;viking lifestyle;The Danes maintained their Viking lifestyle, mostly directing their efforts at England, Ireland and Northern France.
1abda0d3e8ce4dc9aecebf4fe01d035f;vikings;great heathen army;In 878, the Vikings experienced a serious setback when king Alfred of Wessex beat the great heathen army at the battle of Edington.
1abda0d3e8ce4dc9aecebf4fe01d035f;part of these forces;new targets on the continent;As a consequence, a part of these forces decided to seek new targets on the continent.
b2e65aedbf9944ccac390798df7ea116;forces;new targets;forces decided to seek new targets
b2e65aedbf9944ccac390798df7ea116;new targets;continent;new targets on the continent
b2e65aedbf9944ccac390798df7ea116;multiple raids;forces;multiple raids conducted by the forces
b2e65aedbf9944ccac390798df7ea116;multiple raids;rhine river;multiple raids down the Rhine River
b2e65aedbf9944ccac390798df7ea116;rhine river;trier;raids down the Rhine River as far as Trier
b2e65aedbf9944ccac390798df7ea116;viking settlements;lower rhine;Viking settlements on the lower Rhine
b2e65aedbf9944ccac390798df7ea116;central authority;denmark;before the 940s there was no central authority in Denmark
b2e65aedbf9944ccac390798df7ea116;various kings;jutland, seeland and skaene;various kings in Jutland, Seeland and Skaene
b2e65aedbf9944ccac390798df7ea116;kings;fighting each other;various kings in Jutland, Seeland and Skaene were as busy fighting each other
b2e65aedbf9944ccac390798df7ea116;gorm the old;reigning;Gorm the Old believed to have reigned from 936 to 958
b2e65aedbf9944ccac390798df7ea116;gorm the old;regional kings in denmark;Gorm the Old set out as one of several regional kings in Denmark
b2e65aedbf9944ccac390798df7ea116;gorm the old;expansion of territory;Gorm the Old managed over time to expand his territory
b2e65aedbf9944ccac390798df7ea116;harald bluetooth;completion of conquest;Harald Bluetooth understood to have completed the conquest of all of Denmark
b2e65aedbf9944ccac390798df7ea116;need for consolidation of power in denmark;military recovery;What may have driven the need for consolidation of power in Denmark was the military recovery in their
b32850569a734f279f38119256477fb3;military recovery;kingdom of east francia;The military recovery in the kingdom of East Francia could have potentially driven the need for consolidation of power in Denmark.
b32850569a734f279f38119256477fb3;henry the fowler;last wars;One of the last wars Henry the Fowler fought was against the Danes in 935.
b32850569a734f279f38119256477fb3;hermann billung;capture;Hermann Billung was captured by the Danes in 942.
b32850569a734f279f38119256477fb3;hermann billung;ransom payment or successful campaign by otto the great;Hermann Billung's reappearance in Saxony shortly after being captured suggests either a ransom payment or a successful campaign by Otto the Great.
b32850569a734f279f38119256477fb3;harald bluetooth;conversion to christianity;At some point in the 960s, Harald Bluetooth converts to Christianity.
b32850569a734f279f38119256477fb3;danes;traditional worship of idols;The Danes, despite being Christians, continued to worship idols in their traditional manner.
b32850569a734f279f38119256477fb3;danes;christianity;There was a dispute before the Danish king during a feast regarding the worshipping of their gods, where the Danes affirmed that Christ was a God.
b32850569a734f279f38119256477fb3;danes;other, greater gods;The Danes claimed that there were other, greater gods, who manifested themselves to people through even more powerful signs and prodigies.
0b2befea7c864d079ebb6cc095262038;greater gods;demons;In the context, greater gods are referred to as demons by Poppo, the cleric.
0b2befea7c864d079ebb6cc095262038;poppo;proclaiming;The cleric named Poppo is portrayed as a person who proclaimed that there is only one true God, the father, the son and the Holy spirit. The images, he proclaimed were of demons, not of gods.
0b2befea7c864d079ebb6cc095262038;poppo;demonstrating faith;King Harold asked Poppo if he wished to demonstrate his faith through his own person.
0b2befea7c864d079ebb6cc095262038;poppo;carrying glowing iron;The Confessor of Christ, Poppo, seized the hot iron without any fear at all and carried it as far as the king had ordered.
0b2befea7c864d079ebb6cc095262038;king harold;quick to listen, slow to speak;King Harold is described as a person who is said was quick to listen but slow to speak.
0b2befea7c864d079ebb6cc095262038;king harold;becoming a christian;As a result of Poppo's demonstration, King Harold became a Christian.
0b2befea7c864d079ebb6cc095262038;king harold;ordering the cleric to carry glowing iron;The king ordered that a very heavy piece of iron be heated in the fire and then ordered the cleric to carry it for his catholic faith.
0b2befea7c864d079ebb6cc095262038;iron;glowing hot;The iron is described as being heated in the fire and glowing hot.
0b2befea7c864d079ebb6cc095262038;iron;carried by poppo;The Confessor of Christ, Poppo, carried the glowing hot iron as far as the king had ordered.
0b2befea7c864d079ebb6cc095262038;unharmed hand of poppo;proof of faith;After carrying the glowing hot iron, Poppo showed everyone his unharmed hand and gave proof to everyone there of his catholic faith.
228bde53fd8d423e8c46f603d955fb68;harald bluetooth;conversion to christianity;Harald Bluetooth, a historical figure, underwent a conversion to Catholic faith as per the first account. According to an alternative version by Adam von Bremen, Harald was made to convert after suffering a defeat from Otto the Great.
228bde53fd8d423e8c46f603d955fb68;conversion to christianity;god alone worshipped;Post Harald's conversion, he decreed that God alone was to be worshipped.
228bde53fd8d423e8c46f603d955fb68;harald bluetooth;defensive line of danevirk;Harald Bluetooth had spent vast amounts of money and effort in reenforcing the Danevirk, a defensive line stretching across the Jutland peninsula.
228bde53fd8d423e8c46f603d955fb68;defensive line of danevirk;main danish defence against incursions from the south;The defensive line of Danevirk was and will remain the main Danish defense against incursions from the south.
228bde53fd8d423e8c46f603d955fb68;otto i;harald's attack on saxony;After Otto I died in 973, Harald attacked Saxony believing the kingdom to be descending into civil war. However this backfired badly.
228bde53fd8d423e8c46f603d955fb68;otto ii;harald's attack on saxony;Despite Otto II being less successful as an emperor, he was able to thwart Harald's attack on Saxony.
af7d72030df643758befecb4e33044b9;harald;defeat at the danevirk;Harald, a key person in the context, experienced a military defeat at the Danevirk.
af7d72030df643758befecb4e33044b9;schleswig-holstein;addition to the empire;All of what is today Schleswig-Holstein was added to the empire.
af7d72030df643758befecb4e33044b9;stem duchy of saxony;integral part of the empire;The Stem duchy of Saxony is an integral part of the empire and also home to its rulers.
af7d72030df643758befecb4e33044b9;marches;eastwards from the elbe river;The marches stretch out eastwards from the Elbe River.
af7d72030df643758befecb4e33044b9;marches;slavic peoples;The marches are inhabited by a number of different mainly pagan Slavic peoples.
af7d72030df643758befecb4e33044b9;march of meissen;saxon castles and their garrisons;The March of Meissen is filled with Saxon castles and their garrisons.
af7d72030df643758befecb4e33044b9;march of lusatia;saxon castles and their garrisons;The march of Lusatia is filled with Saxon castles and their garrisons.
af7d72030df643758befecb4e33044b9;march of the billungs;military forces penetration and tribute payment;The march of the Billungs is barely penetrated by military forces, its rulers pay tribute.
af7d72030df643758befecb4e33044b9;duchy of bohemia;christian and reliable ally of the empire;The duchy of Bohemia is Christian for a long time already and its ruler a reliable ally of the empire.
af7d72030df643758befecb4e33044b9;duchy of poland;creation and miesco i as ruler;The just recently created duchy of Poland is ruled by Miesco I.
9d455bc6ec4946bf81b106a8d103c837;empire;eastern duchy of poland;the eastern duchy of Poland is a part of the empire
9d455bc6ec4946bf81b106a8d103c837;eastern duchy of poland;miesco i;Miesco I is the ruler of the eastern duchy of Poland
9d455bc6ec4946bf81b106a8d103c837;miesco i;baptism and vassalage of emperor otto the great;Miesco I had recently accepted baptism and became a vassal of emperor Otto the Great
9d455bc6ec4946bf81b106a8d103c837;north;denmark;Denmark is located in the north
9d455bc6ec4946bf81b106a8d103c837;denmark;harald bluetooth;Harald Bluetooth is the ruler of Denmark
9d455bc6ec4946bf81b106a8d103c837;harald bluetooth;yoke of imperial vassalage;Harald Bluetooth had tried to throw off the yoke of imperial vassalage
9d455bc6ec4946bf81b106a8d103c837;yoke of imperial vassalage;new emperor otto ii;the new emperor Otto II brought Harald Bluetooth back in the fold
9d455bc6ec4946bf81b106a8d103c837;slavic peoples;elbe and oder river;the Slavic peoples live between the Elbe and Oder River
9d455bc6ec4946bf81b106a8d103c837;slavic peoples;christian powers;the Slavic peoples are surrounded by Christian powers
9d455bc6ec4946bf81b106a8d103c837;slavic peoples;superior strength;the Christian powers are superior in strength to the Slavic peoples
9d455bc6ec4946bf81b106a8d103c837;slavic peoples;surrender or be traded south as slaves;the options for the Slavic peoples are to surrender or be traded south as slaves
9d455bc6ec4946bf81b106a8d103c837;slavic peoples;hatred;hatred is simmering among the Slavic peoples
9d455bc6ec4946bf81b106a8d103c837;slavic peoples;freedom;the Slavic peoples are waiting, hoping and praying for a weakening of the empire to regain their freedom
